halo_id,m200_msun,pos_x,pos_y,pos_z
96,214734719262068.2,23361.66796875,177172.859375,17812.03125
97,228157061927959.84,69683.171875,169043.625,197843.84375
98,228585861381753.75,150974.921875,173051.296875,69786.8203125
99,137743809049306.17,151373.890625,61251.88671875,145374.8125
100,179395756638433.72,59953.62890625,130849.1953125,78068.078125
101,121944717393711.25,70636.265625,144264.6875,107462.015625
102,98802773875756.56,22880.146484375,20919.720703125,139477.46875
103,124328602468999.11,58436.62109375,31380.193359375,52549.15234375
104,157096714575029.53,178228.96875,190479.796875,136313.390625
105,137608079259853.86,192539.859375,143333.203125,182762.078125
106,201667335584588.12,63332.90234375,19554.75,123801.4921875
107,187167025921722.75,146736.90625,88032.609375,8103.20703125
108,199525515182130.2,166937.25,54950.9921875,64799.640625
109,188158048005240.62,198044.15625,146632.890625,171025.546875
110,164342321052922.94,41347.84765625,136140.671875,168850.4375
111,180591519504723.94,32928.2734375,108266.4296875,138095.875
112,152773212605181.56,151313.125,157300.140625,166020.625
113,200451361017308.8,39849.81640625,154014.03125,75852.328125
114,179024276530668.72,183947.046875,112769.3671875,12603.9267578125
115,127064952506827.58,96437.6171875,29103.99609375,14071.640625
116,198077725955860.66,190140.40625,188666.375,86763.875
117,221948206146663.72,160855.046875,100953.359375,171860.109375
118,192892574088426.34,183033.46875,189465.859375,166553.390625
119,170198596541002.38,100867.84375,114418.2578125,20959.734375
120,203439881578461.75,103281.3046875,6065.6748046875,31713.892578125
121,166784549033990.25,186459.390625,6970.02001953125,1760.1639404296875
122,201308729263544.44,85058.125,160069.6875,9552.49609375
123,71453250133783.58,51048.0546875,127291.3828125,122468.9296875
124,178725411499852.38,61185.8984375,16435.78125,6926.16650390625
125,135592661278417.48,41624.375,77994.5625,160886.078125
126,188105846457964.28,129112.3671875,56686.7421875,5803.0068359375
127,201790508746678.47,87037.296875,154656.6875,61007.10546875
128,167641153214496.6,56142.46875,137164.015625,32963.68359375
129,112128930757768.67,184857.84375,106824.9765625,196653.859375
130,164261330085621.5,137170.71875,56458.65234375,13407.05859375
131,185050347606657.8,136821.296875,44677.77734375,150840.734375
132,179053469608060.22,4558.76318359375,3464.7265625,143219.484375
133,198890706308126.66,95018.03125,115087.8125,201071.5625
134,174660480905853.25,126721.328125,80859.0234375,8974.587890625
135,163210220719847.94,77714.8984375,39427.8125,15931.1396484375
136,127507058237378.2,64677.12890625,13821.853515625,109548.515625
137,173721040467227.62,77081.0390625,46363.23046875,131915.453125
138,156064721268821.97,19592.9453125,196055.375,57408.9921875
139,146933040162754.66,125166.2734375,50621.8046875,26270.376953125
140,160620340640684.97,97611.8359375,16122.697265625,130224.0625
141,114362093055709.33,7148.95068359375,2919.480712890625,151215.265625
142,146151141427701.5,84796.5859375,200685.578125,46271.55078125
143,90142031169268.53,101175.4921875,46110.328125,127259.6328125
144,177805836770187.47,29118.400390625,17936.560546875,136300.34375
145,155587973086433.4,79283.5625,179194.609375,55322.3125
146,167491021506864.47,189255.578125,11962.22265625,108339.9921875
147,187930817740625.94,127364.0078125,179067.65625,71874.953125
148,122913480656739.0,135257.375,133112.171875,77186.4375
149,134479013853520.81,51149.93359375,63752.0625,203879.59375
150,88344206132824.03,196104.4375,26053.375,55763.35546875
151,177005773453646.28,177980.71875,52959.64453125,54911.609375
152,163909499441799.53,90900.78125,22081.017578125,127644.4765625
153,140163561964865.66,160629.953125,188326.453125,153441.71875
154,187111840193201.94,186298.625,109865.1796875,200221.25
155,178474005042257.16,49525.46875,107135.1875,133139.4375
156,170201623971250.38,100924.4375,147628.484375,136470.078125
157,111486942549177.0,167827.09375,122848.5546875,159546.203125
158,176244922566984.06,187148.453125,135900.765625,191712.171875
159,169744323424121.66,62119.7421875,180899.953125,54583.9765625
160,171195442823664.0,7232.49658203125,201690.796875,3175.257080078125
161,170170268443681.72,123277.8046875,57171.58984375,26276.271484375
162,137401435520925.6,182111.015625,40945.9296875,86075.078125
163,176176589141386.2,129259.3046875,147694.5625,138006.90625
164,162742727824217.6,69979.1328125,143633.078125,134642.390625
165,82350290690969.14,103420.640625,8558.578125,115954.9765625
166,154801706202022.44,125395.2578125,52845.2421875,23142.69921875
167,163859287348686.16,92443.296875,72217.4296875,32512.3203125
168,173127851550966.94,171938.46875,27947.248046875,159454.984375
169,152895564036204.6,84309.046875,127382.390625,194504.140625
170,86061992256698.4,51408.15234375,189586.5625,68068.390625
171,183455800095032.47,203274.609375,70272.9765625,87507.984375
172,112941219125978.0,180114.515625,82275.953125,7640.81396484375
173,74599579100697.52,43961.421875,190370.75,4758.73486328125
174,128181137206598.77,202086.546875,194971.59375,103608.375
175,148736465945157.97,89657.6796875,1746.0809326171875,51102.3828125
176,137337297248671.39,144366.09375,132181.03125,71561.4765625
177,92565438625627.4,185020.53125,52361.6328125,55864.14453125
178,91614746237913.34,85725.8125,133138.09375,180277.328125
179,150488367748007.1,79300.25,108029.9609375,89864.203125
180,142675002767936.22,161335.890625,44667.09765625,79674.1640625
181,117365008326874.81,48774.71875,130962.765625,111003.5625
182,156103630955676.12,113030.0625,145940.1875,73359.171875
183,182627711424195.44,59295.609375,92875.8828125,103435.984375
184,107746026281554.47,197961.734375,51135.9140625,47694.15234375
185,136576878852044.58,96751.1953125,152923.453125,155357.109375
186,144609847855772.06,158033.0,147462.3125,4074.271484375
187,118919146852856.52,51759.5546875,89894.8046875,127143.078125
188,164069621669250.06,78811.328125,194854.46875,123688.2578125
189,142160527038123.72,59295.078125,128704.1796875,71461.4765625
190,106295360996549.31,46570.69921875,108662.3125,183955.03125
191,156477489758635.97,148943.34375,132988.421875,60789.3359375
192,129208070379391.8,200121.15625,106692.359375,25316.5078125
193,98666784592283.0,660.4057006835938,147612.0,153967.703125
194,118452360357617.36,98681.34375,81030.5390625,59110.5546875
