halo_id,m200_msun,r200_kpc_h,n_gas_particles,control_gas_mass_ratio,control_inner_icm_T_K,control_pass,n_annulus,n_whim,mass_annulus_msun,mass_whim_msun,whim_mass_fraction_pct,group_mass_total_msun,group_nsubs,group_first_sub_id,elapsed_s,cold_fraction_pct,whim_fraction_pct_recomputed,hot_fraction_pct,hot_fraction_inner_pct,hot_fraction_outer_pct
45,305942874409506.94,962.4633178710938,4349244,0.9999887121167546,30873182.0,True,1004482,431126,11769373540072.414,5057590666488.323,42.97247129822345,407705011809861.25,1935,140473,37.9,1.3710558519574003,42.97247129822345,55.656472849819146,59.8269965212026,2.804907202947035
46,176415712881975.2,801.0803833007812,4332536,0.9999904895446144,24603096.0,True,1864803,813105,21803276387119.152,9599321488432.934,44.026967864811276,409737080657661.6,2030,142408,50.5,0.6642172272128036,44.026967864811276,55.30881490797593,48.958523043658815,59.173074206219596
47,183143571122121.34,811.1298828125,4221619,0.999980134548299,23976184.0,True,566687,278045,6625868381397.32,3298980215510.7207,49.78940156392004,410985996549306.2,2452,144438,33.7,2.648873048783967,49.78940156392004,47.561725387296,50.644589664252095,41.47225110060791
48,324151512215825.2,981.1781616210938,4563952,0.9999877318621546,34481196.0,True,610877,202231,7174510925499.686,2379041514270.0493,33.15963330426395,396929810903823.44,1501,146890,34.3,2.8720223341590296,33.15963330426395,63.968344361577024,64.23847771740459,1.1574047004868295
49,324038718814585.2,981.0625610351562,4265376,0.9999882075516751,36241204.0,True,566710,268376,6650898742071.387,3167330821408.0513,47.62259875304616,400190064954236.8,1874,148391,31.3,3.7642810064915277,47.62259875304616,48.613120240462315,53.89541394921407,1.1712590446769398
50,338210581128210.8,995.1787719726562,4219271,0.9999950254259939,34312752.0,True,449313,118491,5274859276350.441,1411616674903.0737,26.761219606975754,395860118882860.94,1805,150265,55.3,2.1383229908554564,26.761219606975754,71.10045740216877,75.84763951184928,2.0000947773780826
51,316146554150059.06,973.0411987304688,4401113,0.9999876243810847,33708120.0,True,545399,133460,6413345777123.901,1576829018141.4307,24.58668334655999,387477625848833.75,1801,152070,45.1,3.8110690572720833,24.58668334655999,71.60224759616793,72.0822728007652,9.712339504276693
52,275655193571006.78,929.5731201171875,4322938,0.9999801721167827,23568336.0,True,1063512,533819,12405384882337.188,6254997876291.369,50.42163492401794,382900497305875.4,1697,153871,43.5,1.3802922195137821,50.42163492401794,48.19807285646827,60.08814760306081,5.942920264441075
53,184230519495497.5,812.7424926757812,4039857,0.9999824091291512,24377306.0,True,1243590,881287,14490717544839.27,10318326794952.22,71.20645863825422,386501957161573.7,1968,155568,33.6,2.28965040534466,71.20645863825422,26.503890956401126,36.269937326540756,10.44922265145016
54,314248643711248.9,971.0980224609375,4108663,0.9999956033907988,37553192.0,True,505334,207829,5981914744729.891,2500588555680.8423,41.80247734028437,378226260333628.56,1502,157536,44.4,2.4779214219464025,41.80247734028437,55.71960123776922,68.31591040632306,7.608614814982111
55,242969413151387.66,891.2825317382812,3951623,0.9999897536596694,27563356.0,True,993397,397867,11583308818499.594,4649783558113.309,40.14210128531826,387000675837762.0,1792,159038,31.8,2.0012077235755505,40.14210128531826,57.85669099110619,76.04079522857752,44.72675013878455
56,296168311282108.06,952.0789794921875,4005523,0.9999906745724161,30885896.0,True,611381,179518,7212145482941.889,2177524151602.336,30.192460159776303,383216503358429.3,1834,160830,33.2,2.236767218818687,30.192460159776303,67.57077262140501,67.84381156640194,8.890820771880508
57,301115824291408.3,957.3742065429688,4235665,0.9999937326086643,32909086.0,True,601677,227838,7095912972191.008,2731247792410.8843,38.49043531275942,372334563911647.5,1764,162664,25.2,1.208210392999513,38.49043531275942,60.30135429424108,60.92373183038991,9.881333968014674
58,279208848861455.56,933.5523071289062,4174368,0.9999925045867168,32364800.0,True,639109,130570,7550445401430.67,1599433129726.2532,21.183295086448677,376020762981620.9,1708,164428,24.3,0.9444869898909436,21.183295086448677,77.87221792366037,80.2452836588353,14.02096060312646
59,213580417773841.16,853.8114624023438,4006794,0.9999742282494879,23262588.0,True,1239312,725423,14522598886465.092,8579742333892.488,59.07856025610346,378420967347579.0,1959,166136,25.7,2.454295498193739,59.07856025610346,38.4671442457028,46.04816949496373,26.881983066568385
60,290497790264245.6,945.9635620117188,3909730,0.9999935771332628,33623976.0,True,528356,251865,6192934955770.475,2981657295324.5625,48.146110311497836,377345681788824.94,1956,168095,23.5,2.4586225527421246,48.146110311497836,49.39526713576005,49.85488848591166,1.8986737917217074
61,255725187758340.72,906.635498046875,3882727,0.9999863788336786,25254088.0,True,1068358,537046,12387818718687.953,6271671027220.877,50.627726879467424,373195709237525.8,1910,170051,24.5,2.1076077232307693,50.627726879467424,47.26466539730181,48.97909313546388,0.19021857781633975
62,174374604992434.3,797.9891357421875,3901304,0.9999900172404315,20546476.0,True,1968313,475729,22865508945529.156,5630782836420.203,24.625661514178443,369654711488780.6,1790,171961,26.7,0.4520942601150324,24.625661514178443,74.92224422570652,76.74503802735713,61.36918564230879
63,282241987977930.3,936.8995971679688,3941795,0.9999925407389798,31617894.0,True,700998,158044,8237173150905.706,1923378208358.832,23.3499790901852,366492603843740.75,1805,173751,29.0,0.9263063276406441,23.3499790901852,75.72371458217415,75.7525719873128,29.518044719175805
64,279798246281739.0,934.2469482421875,3962878,0.9999955427522089,31065286.0,True,602579,104410,7117324018063.684,1273793484396.648,17.897084369965107,354287677378579.9,1676,175556,24.8,1.7865186132337318,17.897084369965107,80.31639701680118,80.37748781802583,51.077207772426156
